name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0180,0,այո,,,,,"8934201263,6000943",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0181,0,այո,,,,,"6686001W01,94051993,MB344737,MB406893",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0182,0,այո,,,,,"63848D4000,63848D4001",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0183,0,այո,,,,,91635SM4003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0184,0,այո,,,,,7554532020,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0185,0,այո,,,,,"2945108,2945108R",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0186,0,այո,,,,,388930S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0187,0,այո,,,,,"90667SA70030,90667SA7003YN,90667SA7003F7,90667SA7003YG,90667SA7003Z,90667SA7003ZT,90667SA7003YW,90667SA7003,8942798070",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0187Black,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0187GreyYellow,0,այո,,,,,90667SA7003F7,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0187Grey,0,այո,,,,,"9046705021B4,9046705021B1",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0187DarkGrey,0,այո,,,,,9046705021B3,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0188,0,այո,,,,,"1636632,20687704",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0189,0,այո,,,,,"8099905N07,8099946N20,9046707043,09409073215PK,MR108759,MR108760,M683156,M683157,M683158,M683159,M683160,MR417323",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0189Grey,0,այո,,,,,"9046707043B1,9046707043E1,8099946N20,MR417323",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0189LightGrey,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0189DarkBrown,0,այո,,,,,0155301913,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0189DarkGrey,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0189SilveryBrown,0,այո,,,,,MR108759,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0191,0,այո,,,,,7504933010,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0192,0,այո,,,,,4630253,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0193,0,այո,,,,,"6501925,10134407",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0194,0,այո,,,,,4630660,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0195,0,այո,,,,,3540858,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0196,0,այո,,,,,"90661ST7003,90661S47003",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0197,0,այո,,,,,"N807994S,9046712042,9046711126,2639940U00",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0198,0,այո,,,,,"10185925,6503768",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0199,0,այո,,,,,387477S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0200,0,այո,,,,,"20432975,17585357701C,6503800,N804343S",,,,,,,,,,,
